SEQUENCE,INTDATE,AREACOUNTY,AREAZIP,GEARCODE,STDEPTH,ENDDEPTH,SPECIES,NODCCODE,STLENGTH,LENGTHTYPE,WEIGHT
9290006,1/15/1992,,130,104,10,0,140,,250,,220
9290006,1/15/1992,,130,104,10,0,136,,255,,270
9290006,1/15/1992,,130,104,10,0,140,,255,,270
9290006,1/15/1992,,130,104,10,0,142,,245,,210
9290006,1/15/1992,,130,104,10,0,142,,235,,190
9290006,1/15/1992,,130,104,10,0,140,,245,,210
9290006,1/15/1992,,130,104,10,0,88,,355,,640
9290006,1/15/1992,,130,104,10,0,135,,305,,520
9290006,1/15/1992,,130,104,10,0,140,,265,,255
9290006,1/15/1992,,130,104,10,0,136,,245,,260
9290006,1/15/1992,,130,104,10,0,140,,235,,175
9290006,1/15/1992,,130,104,10,0,140,,249,,220
9290006,1/15/1992,,130,104,10,0,140,,295,,370
9290006,1/15/1992,,130,104,10,0,140,,370,,710
9290006,1/15/1992,,130,104,10,0,134,,415,,2000
9290006,1/15/1992,,130,104,10,0,140,,335,,540
9290006,1/15/1992,,130,104,10,0,140,,259,,265
9290006,1/15/1992,,130,104,10,0,140,,255,,240
9290006,1/15/1992,,130,104,10,0,140,,280,,330
9290006,1/15/1992,,130,104,10,0,140,,245,,220
9290006,1/15/1992,,130,104,10,0,140,,295,,375
9290006,1/15/1992,,130,104,10,0,140,,290,,340
9290006,1/15/1992,,130,104,10,0,140,,235,,190
9290006,1/15/1992,,130,104,10,0,140,,260,,245
9290006,1/15/1992,,130,104,10,0,140,,249,,210
9290006,1/15/1992,,130,104,10,0,140,,240,,210
9290006,1/15/1992,,130,104,10,0,140,,285,,335
9290006,1/15/1992,,130,104,10,0,142,,235,,190
9290006,1/15/1992,,130,104,10,0,140,,265,,285
9290006,1/15/1992,,130,104,10,0,142,,229,,170
9290006,1/15/1992,,130,104,10,0,140,,264,,270
9290006,1/15/1992,,130,104,10,0,140,,356,,675
9290006,1/15/1992,,130,104,10,0,140,,435,,695
9290006,1/15/1992,,130,104,10,0,140,,330,,550
9290006,1/15/1992,,130,104,10,0,140,,390,,780
9290006,1/15/1992,,130,104,10,0,140,,349,,610
9290006,1/15/1992,,130,104,10,0,140,,320,,375
9290006,1/15/1992,,130,104,10,0,140,,265,,250
9290006,1/15/1992,,130,104,10,0,140,,305,,445
9290006,1/15/1992,,130,104,10,0,140,,219,,130
9290006,1/15/1992,,130,104,10,0,140,,325,,470
9290006,1/15/1992,,130,104,10,0,140,,233,,155
9290006,1/15/1992,,130,104,10,0,140,,495,,835
9290006,1/15/1992,,130,104,10,0,140,,495,,835
9290006,1/15/1992,,130,104,10,0,140,,244,,170
9290006,1/15/1992,,130,104,10,0,140,,329,,480
9290006,1/15/1992,,130,104,10,0,140,,295,,330
9290006,1/15/1992,,130,104,10,0,136,,234,,140
9290006,1/15/1992,,130,104,10,0,136,,264,,245
9290006,1/15/1992,,130,104,10,0,136,,343,,175
9290006,1/15/1992,,130,104,10,0,136,,380,,725
9290006,1/15/1992,,130,104,10,0,136,,244,,180
9290006,1/15/1992,,130,104,10,0,136,,250,,195
9290006,1/15/1992,,130,104,10,0,140,,448,,1200
9290006,1/15/1992,,130,104,10,0,140,,448,,1200
9290008,1/15/1992,,130,104,11,0,140,,254,,250
9290008,1/15/1992,,130,104,11,0,140,,264,,290
9290008,1/15/1992,,130,104,11,0,140,,272,,305
9290008,1/15/1992,,130,104,11,0,140,,283,,335
9290008,1/15/1992,,130,104,11,0,140,,290,,430
9290008,1/15/1992,,130,104,11,0,140,,244,,230
9290008,1/15/1992,,130,104,11,0,140,,275,,325
9290008,1/15/1992,,130,104,11,0,140,,254,,225
9290008,1/15/1992,,130,104,11,0,140,,213,,160
9290008,1/15/1992,,130,104,11,0,140,,254,,240
9290008,1/15/1992,,130,104,11,0,140,,255,,250
9290008,1/15/1992,,130,104,11,0,140,,254,,230
9290008,1/15/1992,,130,104,11,0,136,,215,,165
9290008,1/15/1992,,130,104,11,0,136,,230,,205
9290008,1/15/1992,,130,104,11,0,137,,269,,305
9290008,1/15/1992,,130,104,11,0,137,,286,,385
9290008,1/15/1992,,130,104,11,0,134,,423,,1255
9290010,1/15/1992,,130,104,25,0,140,,240,,170
9290010,1/15/1992,,130,104,25,0,136,,230,,199
9290010,1/15/1992,,130,104,25,0,140,,230,,300
9290010,1/15/1992,,130,104,25,0,136,,230,,190
9290010,1/15/1992,,130,104,25,0,136,,265,,220
9290010,1/15/1992,,130,104,25,0,140,,230,,185
9290010,1/15/1992,,130,104,25,0,140,,264,,270
9290010,1/15/1992,,130,104,25,0,140,,240,,210
9290010,1/15/1992,,130,104,25,0,136,,234,,200
9290010,1/15/1992,,130,104,25,0,140,,250,,240
9290010,1/15/1992,,130,104,25,0,140,,265,,285
9290010,1/15/1992,,130,104,25,0,140,,265,,285
9290010,1/15/1992,,130,104,25,0,140,,290,,380
9290010,1/15/1992,,130,104,25,0,140,,293,,355
9290010,1/15/1992,,130,104,25,0,140,,235,,190
9290010,1/15/1992,,130,104,25,0,140,,368,,795
9290010,1/15/1992,,130,104,25,0,140,,395,,910
9290010,1/15/1992,,130,104,25,0,140,,294,,305
9290010,1/15/1992,,130,104,25,0,140,,230,,180
9290010,1/15/1992,,130,104,25,0,140,,248,,210
9290010,1/15/1992,,130,104,25,0,140,,290,,380
9290010,1/15/1992,,130,104,25,0,140,,240,,210
9290010,1/15/1992,,130,104,25,0,140,,255,,250
9290010,1/15/1992,,130,104,25,0,140,,279,,350
9290010,1/15/1992,,130,104,25,0,140,,245,,280
9290010,1/15/1992,,130,104,25,0,140,,314,,480
9290010,1/15/1992,,130,104,25,0,140,,340,,555
9290010,1/15/1992,,130,104,25,0,140,,275,,310
9290010,1/15/1992,,130,104,25,0,140,,255,,280
9290010,1/15/1992,,130,104,25,0,140,,265,,275
9290010,1/15/1992,,130,104,25,0,140,,390,,870
9290010,1/15/1992,,130,104,25,0,140,,405,,965
9290010,1/15/1992,,130,104,25,0,140,,340,,610
9290010,1/15/1992,,130,104,25,0,140,,278,,745
9290010,1/15/1992,,130,104,25,0,140,,231,,205
9290010,1/15/1992,,130,104,25,0,140,,255,,215
9290010,1/15/1992,,130,104,25,0,140,,295,,370
9290010,1/15/1992,,130,104,25,0,140,,334,,515
9290010,1/15/1992,,130,104,25,0,140,,305,,410
9290010,1/15/1992,,130,104,25,0,140,,240,,230
9290010,1/15/1992,,130,104,25,0,140,,245,,210
9290010,1/15/1992,,130,104,25,0,140,,245,,210
9290010,1/15/1992,,130,104,25,0,140,,255,,230
9290010,1/15/1992,,130,104,25,0,140,,309,,445
9290010,1/15/1992,,130,104,25,0,140,,270,,380
9290010,1/15/1992,,130,104,25,0,140,,230,,185
9290010,1/15/1992,,130,104,25,0,140,,225,,170
9290010,1/15/1992,,130,104,25,0,140,,372,,310
9290010,1/15/1992,,130,104,25,0,140,,305,,332
9290010,1/15/1992,,130,104,25,0,140,,205,,140
9290010,1/15/1992,,130,104,25,0,140,,225,,165
9290010,1/15/1992,,130,104,25,0,140,,255,,255
9290010,1/15/1992,,130,104,25,0,140,,225,,180
9290010,1/15/1992,,130,104,25,0,140,,260,,270
9290010,1/15/1992,,130,104,25,0,136,,224,,190
9290010,1/15/1992,,130,104,25,0,140,,255,,250
9290010,1/15/1992,,130,104,25,0,136,,230,,290
9290010,1/15/1992,,130,104,25,0,140,,235,,190
9290010,1/15/1992,,130,104,25,0,140,,260,,255
9290010,1/15/1992,,130,104,25,0,140,,260,,255
9290010,1/15/1992,,130,104,25,0,140,,230,,180
9290010,1/15/1992,,130,104,25,0,140,,254,,250
9290010,1/15/1992,,130,104,25,0,140,,249,,185
9290010,1/15/1992,,130,104,25,0,140,,285,,185
9290010,1/15/1992,,130,104,25,0,140,,32.05,,510
9290010,1/15/1992,,130,104,25,0,140,,305,,445
9290010,1/15/1992,,130,104,25,0,140,,234,,185
9290010,1/15/1992,,130,104,25,0,140,,245,,190
9290010,1/15/1992,,130,104,25,0,140,,260,,210
9290010,1/15/1992,,130,104,25,0,140,,240,,205
9290010,1/15/1992,,130,104,25,0,140,,260,,255
9290010,1/15/1992,,130,104,25,0,140,,238,,215
9290010,1/15/1992,,130,104,25,0,140,,205,,124
9290010,1/15/1992,,130,104,25,0,140,,275,,315
9290010,1/15/1992,,130,104,25,0,140,,243,,175
9290010,1/15/1992,,130,104,25,0,140,,244,,205
9290010,1/15/1992,,130,104,25,0,140,,240,,205
9290010,1/15/1992,,130,104,25,0,140,,245,,228
9290010,1/15/1992,,130,104,25,0,140,,224,,165
9290010,1/15/1992,,130,104,25,0,140,,265,,225
9290010,1/15/1992,,130,104,25,0,140,,250,,225
9290022,1/15/1992,,130,104,11,0,140,,358,,595
9290022,1/15/1992,,130,104,11,0,140,,344,,530
9290022,1/15/1992,,130,104,11,0,140,,270,,260
9290022,1/15/1992,,130,104,11,0,140,,312,,450
9290022,1/15/1992,,130,104,11,0,140,,358,,655
9290022,1/15/1992,,130,104,11,0,140,,309,,400
9290022,1/15/1992,,130,104,11,0,140,,355,,640
9290022,1/15/1992,,130,104,11,0,140,,370,,675
9290022,1/15/1992,,130,104,11,0,140,,405,,925
9290022,1/15/1992,,130,104,11,0,140,,420,,980
9290022,1/15/1992,,130,104,11,0,140,,305,,380
9290022,1/15/1992,,130,104,11,0,140,,354,,575
9290022,1/15/1992,,130,104,11,0,140,,345,,550
9290022,1/15/1992,,130,104,11,0,140,,330,,485
9290022,1/15/1992,,130,104,11,0,140,,269,,290
9290022,1/15/1992,,130,104,11,0,140,,300,,385
9290022,1/15/1992,,130,104,11,0,140,,264,,235
9290022,1/15/1992,,130,104,11,0,140,,325,,505
9290022,1/15/1992,,130,104,11,0,140,,304,,410
9290022,1/15/1992,,130,104,11,0,140,,364,,610
9290022,1/15/1992,,130,104,11,0,140,,319,,445
9290022,1/15/1992,,130,104,11,0,140,,278,,330
9290022,1/15/1992,,130,104,11,0,140,,319,,460
9290022,1/15/1992,,130,104,11,0,140,,299,,390
9290022,1/15/1992,,130,104,11,0,140,,365,,650
9290022,1/15/1992,,130,104,11,0,140,,295,,390
9290022,1/15/1992,,130,104,11,0,140,,290,,345
9290022,1/15/1992,,130,104,11,0,140,,278,,300
9290022,1/15/1992,,130,104,11,0,140,,349,,605
9290022,1/15/1992,,130,104,11,0,140,,366,,690
9290022,1/15/1992,,130,104,11,0,140,,393,,845
9290022,1/15/1992,,130,104,11,0,140,,345,,530
9290022,1/15/1992,,130,104,11,0,140,,328,,530
9290022,1/15/1992,,130,104,11,0,140,,330,,590
9290022,1/15/1992,,130,104,11,0,140,,279,,290
9290022,1/15/1992,,130,104,11,0,140,,344,,605
9290022,1/15/1992,,130,104,11,0,140,,298,,350
9290022,1/15/1992,,130,104,11,0,140,,254,,230
9290022,1/15/1992,,130,104,11,0,140,,265,,260
9290022,1/15/1992,,130,104,11,0,88,,319,,450
9290022,1/15/1992,,130,104,11,0,140,,485,,1570
9290022,1/15/1992,,130,104,11,0,140,,241,,170
9290022,1/15/1992,,130,104,11,0,134,,521,,2724
9290029,1/15/1992,,310,101,20,0,901,,76,,490
9290029,1/15/1992,,310,101,20,0,901,,107,,1170
9290029,1/15/1992,,310,101,20,0,901,,83,,590
9290029,1/15/1992,,310,101,20,0,901,,116,,1430
9290050,1/15/1992,,220,104,10,0,82,,231,,192
9290050,1/15/1992,,220,104,10,0,82,,220,,160
9290050,1/15/1992,,220,104,10,0,82,,190,,116
9290050,1/15/1992,,220,104,10,0,82,,220,,175
9290050,1/15/1992,,220,104,10,0,82,,226,,170
9290050,1/15/1992,,220,104,10,0,82,,221,,160
9290050,1/15/1992,,220,104,10,0,82,,213,,145
9290050,1/15/1992,,220,104,10,0,82,,221,,167
9290050,1/15/1992,,220,104,10,0,82,,214,,170
9290050,1/15/1992,,220,104,10,0,82,,220,,175
9290050,1/15/1992,,220,104,10,0,155,,220,,251
9290050,1/15/1992,,220,104,10,0,155,,236,,260
9290050,1/15/1992,,220,104,10,0,155,,243,,305
9290050,1/15/1992,,220,104,10,0,155,,336,,250
9290050,1/15/1992,,220,104,10,0,155,,253,,260
9290050,1/15/1992,,220,104,10,0,155,,220,,260
9290051,1/15/1992,,220,101,15,0,155,,211,,125
9290051,1/15/1992,,220,101,15,0,155,,190,,130
9290051,1/15/1992,,220,101,15,0,155,,192,,135
9290051,1/15/1992,,220,101,15,0,155,,183,,137
9290051,1/15/1992,,220,101,15,0,155,,233,,265
9290051,1/15/1992,,220,101,15,0,155,,165,,198
9290051,1/15/1992,,220,101,15,0,155,,266,,230
9290051,1/15/1992,,220,101,15,0,155,,190,,175
9290051,1/15/1992,,220,101,15,0,164,,176,,135
9290051,1/15/1992,,220,101,15,0,164,,175,,150
9290051,1/15/1992,,220,101,15,0,164,,180,,135
9290051,1/15/1992,,220,101,15,0,164,,192,,182
9290051,1/15/1992,,220,101,15,0,164,,182,,140
9290051,1/15/1992,,220,101,15,0,164,,183,,170
9290051,1/15/1992,,220,101,15,0,164,,175,,145
9290051,1/15/1992,,220,101,15,0,164,,190,,180
9290051,1/15/1992,,220,101,15,0,164,,192,,176
9290051,1/15/1992,,220,101,15,0,251,,200,,210
9290051,1/15/1992,,220,101,15,0,251,,210,,220
9290051,1/15/1992,,220,101,15,0,175,,210,,135
9290032,1/16/1992,,330,116,7,0,901,,108,,955
9290032,1/16/1992,,330,116,7,0,901,,79,,450
9290032,1/16/1992,,330,116,7,0,901,,92,,655
9290032,1/16/1992,,330,116,7,0,901,,111,,1315
9290032,1/16/1992,,330,116,7,0,901,,120,,1170
9290032,1/16/1992,,330,116,7,0,901,,88,,585
9290033,1/16/1992,,330,116,6,0,189,,395,,1170
9290033,1/16/1992,,330,116,6,0,189,,420,,635
9290033,1/16/1992,,330,116,6,0,189,,500,,2043
9290033,1/16/1992,,330,116,6,0,189,,94,,915
9290033,1/16/1992,,330,116,6,0,189,,114,,1150
9290033,1/16/1992,,330,116,6,0,189,,70,,315
9290033,1/16/1992,,330,116,6,0,89,,505,,1900
9290033,1/16/1992,,330,116,6,0,88,,408,,1065
9290033,1/16/1992,,330,116,6,0,88,,360,,685
9290033,1/16/1992,,330,116,6,0,88,,320,,410
9290033,1/16/1992,,330,116,6,0,88,,380,,805
9290033,1/16/1992,,330,116,6,0,88,,450,,1330
9290033,1/16/1992,,330,116,6,0,88,,270,,270
9290033,1/16/1992,,330,116,6,0,88,,320,,375
9290033,1/16/1992,,330,116,6,0,88,,350,,570
9290033,1/16/1992,,330,116,6,0,88,,330,,440
9290033,1/16/1992,,330,116,6,0,88,,315,,345
9290033,1/16/1992,,330,116,6,0,88,,400,,835
9290033,1/16/1992,,330,116,6,0,88,,360,,630
9290033,1/16/1992,,330,116,6,0,88,,255,,230
9290033,1/16/1992,,330,116,6,0,88,,390,,875
9290033,1/16/1992,,330,116,6,0,88,,370,,620
9290033,1/16/1992,,330,116,6,0,88,,370,,670
9290033,1/16/1992,,330,116,6,0,88,,300,,670
9290052,1/16/1992,,211,103,0,0,136,,203,,130
9290052,1/16/1992,,211,103,0,0,136,,260,,280
9290052,1/16/1992,,211,103,0,0,136,,210,,155
9290052,1/16/1992,,211,103,0,0,155,,212,,195
9290052,1/16/1992,,211,103,0,0,155,,201,,205
9290052,1/16/1992,,211,103,0,0,155,,214,,210
9290052,1/16/1992,,211,103,0,0,155,,214,,212
9290052,1/16/1992,,211,103,0,0,155,,196,,180
9290052,1/16/1992,,211,103,0,0,155,,213,,205
9290052,1/16/1992,,211,103,0,0,155,,222,,220
9290052,1/16/1992,,211,103,0,0,155,,208,,190
9290052,1/16/1992,,211,103,0,0,155,,221,,210
9290052,1/16/1992,,211,103,0,0,155,,209,,190
9290052,1/16/1992,,211,103,0,0,155,,222,,170
9290052,1/16/1992,,211,103,0,0,155,,190,,220
9290052,1/16/1992,,211,103,0,0,155,,246,,150
9290052,1/16/1992,,211,103,0,0,155,,253,,300
9290052,1/16/1992,,211,103,0,0,155,,347,,290
9290052,1/16/1992,,211,103,0,0,155,,234,,280
9290052,1/16/1992,,211,103,0,0,155,,234,,305
9290052,1/16/1992,,211,103,0,0,164,,222,,225
9290052,1/16/1992,,211,103,0,0,164,,223,,200
9290052,1/16/1992,,211,103,0,0,164,,206,,230
9290052,1/16/1992,,211,103,0,0,164,,186,,190
9290052,1/16/1992,,211,103,0,0,164,,184,,460
9290052,1/16/1992,,211,103,0,0,164,,227,,150
9290052,1/16/1992,,211,103,0,0,164,,246,,112
9290052,1/16/1992,,211,103,0,0,164,,289,,175
9290052,1/16/1992,,211,103,0,0,675,,246,,175
9290053,1/16/1992,,211,104,17,0,175,,196,,110
9290053,1/16/1992,,211,104,17,0,175,,202,,112
9290053,1/16/1992,,211,104,17,0,135,,224,,170
9290053,1/16/1992,,211,104,17,0,135,,225,,205
9290053,1/16/1992,,211,104,17,0,175,,206,,160
9290053,1/16/1992,,211,104,17,0,136,,210,,155
9290053,1/16/1992,,211,104,17,0,175,,227,,114
9290053,1/16/1992,,211,104,17,0,175,,184,,78
9290053,1/16/1992,,211,104,17,0,175,,190,,112
9290053,1/16/1992,,211,104,17,0,175,,227,,145
9290053,1/16/1992,,211,104,17,0,175,,206,,124
9290053,1/16/1992,,211,104,17,0,675,,270,,350
9290053,1/16/1992,,211,104,17,0,175,,221,,156
9290053,1/16/1992,,211,104,17,0,175,,162,,170
9290053,1/16/1992,,211,104,17,0,175,,218,,114
9290053,1/16/1992,,211,104,17,0,175,,184,,104
9290053,1/16/1992,,211,104,17,0,175,,183,,114
9290053,1/16/1992,,211,104,17,0,155,,201,,122
9290053,1/16/1992,,211,104,17,0,82,,182,,135
9290053,1/16/1992,,211,104,17,0,82,,196,,130
9290053,1/16/1992,,211,104,17,0,175,,197,,108
9290053,1/16/1992,,211,104,17,0,175,,227,,290
9290053,1/16/1992,,211,104,17,0,175,,205,,124
9290053,1/16/1992,,211,104,17,0,175,,221,,150
9290053,1/16/1992,,211,104,17,0,175,,189,,165
9290053,1/16/1992,,211,104,17,0,175,,233,,235
9290053,1/16/1992,,211,104,17,0,175,,190,,160
9290053,1/16/1992,,211,104,17,0,175,,189,,150
9290053,1/16/1992,,211,104,17,0,175,,222,,200
9290053,1/16/1992,,211,104,17,0,136,,208,,170
9290053,1/16/1992,,211,104,17,0,175,,229,,200
9290053,1/16/1992,,211,104,17,0,175,,203,,160
9290053,1/16/1992,,211,104,17,0,134,,203,,150
9290053,1/16/1992,,211,104,17,0,80,,205,,160
9290053,1/16/1992,,211,104,17,0,135,,229,,240
9290053,1/16/1992,,211,104,17,0,155,,178,,170
9290053,1/16/1992,,211,104,17,0,700,,229,,230
9290053,1/16/1992,,211,104,17,0,700,,230,,270
9290053,1/16/1992,,211,104,17,0,700,,241,,260
9290053,1/16/1992,,211,104,17,0,701,,254,,260
9290054,1/17/1992,,190,103,4,0,147,,259,,380
9290054,1/17/1992,,190,103,4,0,147,,247,,385
9290054,1/17/1992,,190,103,4,0,147,,207,,265
9290054,1/17/1992,,190,103,4,0,147,,310,,575
9290054,1/17/1992,,190,103,4,0,147,,273,,360
9290054,1/17/1992,,190,103,4,0,136,,305,,425
9290054,1/17/1992,,190,103,4,0,233,,403,,640
9290054,1/17/1992,,190,103,4,0,233,,204,,160
9290054,1/17/1992,,190,103,4,0,233,,184,,180
9290054,1/17/1992,,190,103,4,0,233,,175,,130
9290054,1/17/1992,,190,103,4,0,233,,196,,155
9290054,1/17/1992,,190,103,4,0,233,,412,,565
9290054,1/17/1992,,190,103,4,0,233,,313,,350
9290054,1/17/1992,,190,103,4,0,160,,259,,190
9290054,1/17/1992,,190,103,4,0,160,,171,,110
9290054,1/17/1992,,190,103,4,0,75,,677,,255
9290054,1/17/1992,,190,103,4,0,75,,77,,382
9290054,1/17/1992,,190,103,4,0,233,,614,,382
9290042,1/21/1992,,373,104,18,0,136,,207,,450
9290042,1/21/1992,,373,104,18,0,136,,253,,260
9290042,1/21/1992,,373,104,18,0,136,,290,,435
9290042,1/21/1992,,373,104,18,0,136,,245,,300
9290042,1/21/1992,,373,104,18,0,136,,212,,175
9290042,1/21/1992,,373,104,18,0,136,,221,,210
9290042,1/21/1992,,373,104,18,0,136,,280,,400
9290042,1/21/1992,,373,104,18,0,136,,268,,360
9290042,1/21/1992,,373,104,18,0,136,,252,,305
9290042,1/21/1992,,373,104,18,0,136,,243,,270
9290042,1/21/1992,,373,104,18,0,136,,202,,160
9290042,1/21/1992,,373,104,18,0,136,,194,,140
9290042,1/21/1992,,373,104,18,0,136,,217,,170
9290042,1/21/1992,,373,104,18,0,136,,170,,112
9290042,1/21/1992,,373,104,18,0,136,,164,,90
9290042,1/21/1992,,373,104,18,0,136,,155,,80
9290042,1/21/1992,,373,104,18,0,136,,163,,90
9290042,1/21/1992,,373,104,18,0,140,,343,,780
9290042,1/21/1992,,373,104,18,0,134,,366,,875
9290042,1/21/1992,,373,104,18,0,166,,242,,395
9290042,1/21/1992,,373,104,18,0,166,,185,,395
9290043,1/21/1992,,373,104,0,0,89,,467,,1740
9290043,1/21/1992,,373,104,0,0,136,,213,,150
9290043,1/21/1992,,373,104,0,0,136,,250,,265
9290043,1/21/1992,,373,104,0,0,136,,226,,200
9290043,1/21/1992,,373,104,0,0,136,,226,,200
9290043,1/21/1992,,373,104,0,0,136,,211,,150
9290043,1/21/1992,,373,104,0,0,136,,227,,170
9290043,1/21/1992,,373,104,0,0,136,,203,,140
9290043,1/21/1992,,373,104,0,0,136,,208,,135
9290043,1/21/1992,,373,104,0,0,136,,227,,195
9290043,1/21/1992,,373,104,0,0,136,,210,,155
9290043,1/21/1992,,373,104,0,0,136,,183,,100
9290043,1/21/1992,,373,104,0,0,136,,186,,110
9290043,1/21/1992,,373,104,0,0,136,,177,,80
9290043,1/21/1992,,373,104,0,0,136,,190,,112
9290043,1/21/1992,,373,104,0,0,136,,175,,90
9290043,1/21/1992,,373,104,0,0,136,,191,,110
9290043,1/21/1992,,373,104,0,0,136,,173,,88
9290043,1/21/1992,,373,104,0,0,166,,240,,390
9290043,1/21/1992,,373,104,0,0,166,,230,,305
9290043,1/21/1992,,373,104,0,0,166,,235,,365
9290043,1/21/1992,,373,104,0,0,166,,227,,310
9290043,1/21/1992,,373,104,0,0,166,,240,,390
9290043,1/21/1992,,373,104,0,0,166,,252,,410
9290043,1/21/1992,,373,104,0,0,155,,290,,410
9290055,1/21/1992,,190,101,0,0,175,,196,,110
9290055,1/21/1992,,190,101,0,0,175,,204,,112
9290055,1/21/1992,,190,101,0,0,175,,223,,170
9290055,1/21/1992,,190,101,0,0,175,,227,,205
9290055,1/21/1992,,190,101,0,0,175,,209,,160
9290055,1/21/1992,,190,101,0,0,175,,215,,155
9290055,1/21/1992,,190,101,0,0,175,,227,,114
9290055,1/21/1992,,190,101,0,0,175,,184,,78
9290055,1/21/1992,,190,101,0,0,175,,189,,112
9290055,1/21/1992,,190,101,0,0,175,,227,,145
9290055,1/21/1992,,190,101,0,0,175,,206,,124
9290055,1/21/1992,,190,101,0,0,155,,272,,350
9290055,1/21/1992,,190,101,0,0,155,,222,,156
9290055,1/21/1992,,190,101,0,0,155,,162,,170
9290055,1/21/1992,,190,101,0,0,155,,219,,114
9290055,1/21/1992,,190,101,0,0,155,,183,,104
9290055,1/21/1992,,190,101,0,0,155,,182,,122
9290055,1/21/1992,,190,101,0,0,155,,203,,135
9290055,1/21/1992,,190,101,0,0,155,,182,,114
9290055,1/21/1992,,190,101,0,0,155,,196,,130
9290055,1/21/1992,,190,101,0,0,155,,196,,130
9290055,1/21/1992,,190,101,0,0,136,,196,,108
9290055,1/21/1992,,190,101,0,0,136,,228,,298
9290055,1/21/1992,,190,101,0,0,136,,207,,124
9290055,1/21/1992,,190,101,0,0,136,,222,,150
9290055,1/21/1992,,190,101,0,0,136,,189,,165
9290055,1/21/1992,,190,101,0,0,136,,233,,235
9290055,1/21/1992,,190,101,0,0,136,,188,,160
